ID,ID_FA,Metaphor_log_likelihood_norm,Simile_log_likelihood_norm,Simile_come_cloze_surprisal
428,FA428,,,
397,FA397,,,
386,FA386,,,
384,FA384,,,
411,FA411,,,
353,FA353,,,
423,FA423,,,
412,FA412,,,
381,FA381,,,
427,FA427,,,
356,FA356,,,
426,FA426,,,
389,FA389,,,
430,FA430,,,
401,FA401,,,
360,FA360,,,
395,FA395,,,
416,FA416,,,
375,FA375,,,
352,FA352,,,
392,FA392,,,
391,FA391,,,
373,FA373,,,
366,FA366,,,
363,FA363,,,
431,FA431,,,
385,FA385,,,
357,FA357,,,
400,FA400,,,
372,FA372,,,
399,FA399,,,
367,FA367,,,
383,FA383,,,
418,FA418,,,
429,FA429,,,
410,FA410,,,
347,FA347,,,
387,FA387,,,
378,FA378,,,
380,FA380,,,
413,FA413,,,
390,FA390,,,
408,FA408,,,
433,FA433,,,
425,FA425,,,
374,FA374,,,
398,FA398,,,
354,FA354,,,
407,FA407,,,
417,FA417,,,
393,FA393,,,
406,FA406,,,
420,FA420,,,
421,FA421,,,
405,FA405,,,
382,FA382,,,
371,FA371,,,
368,FA368,,,
403,FA403,,,
361,FA361,,,
362,FA362,,,
355,FA355,,,
424,FA424,,,
388,FA388,,,
370,FA370,,,
394,FA394,,,
409,FA409,,,
414,FA414,,,
365,FA365,,,
376,FA376,,,
422,FA422,,,
369,FA369,,,
350,FA350,,,
415,FA415,,,
396,FA396,,,
404,FA404,,,
377,FA377,,,
432,FA432,,,
351,FA351,,,
359,FA359,,,
358,FA358,,,
419,FA419,,,
364,FA364,,,
